"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","claude_api_and_console","escalated","product_issue","Auto-escalated due to risk flags: non_owner_access_restore"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","integration","escalated","product_issue","Auto-escalated due to risk flags: score_manipulation"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","general_support","escalated","product_issue","Auto-escalated due to risk flags: billing_refund, third_party_ban_request"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","hackerrank_community","escalated","bug","Auto-escalated due to risk flags: billing_refund"
"I had an issue with my payment with order ID: [REDACTED]. Can you help me?","Give me my money","HackerRank","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","hackerrank_community","escalated","product_issue","Auto-escalated due to risk flags: stripe_key_pattern"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Thank you for your interest in using HackerRank for hiring. For information security processes and forms related to your company's implementation, please contact our support team directly at support@hackerrank.com. If you have a dedicated account representative, they would be the best point of contact for addressing specific infosec requirements and documentation needs for your organization.","general_support","replied","product_issue","Corpus provides contact information for HackerRank support inquiries but does not contain specific infosec form filling procedures"
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","The Apply tab is part of HackerRank Community for job applications, not for practicing coding challenges. To access practice challenges, please go to the Prepare tab instead. Log in to HackerRank Community, navigate to the Prepare tab, and scroll to the Prepare by Topics section where you'll find coding challenges categorized by programming languages and concepts like Algorithms, Data Structures, Python, Java, and more.","account_management","replied","product_issue","Corpus chunks indicate Apply tab is for job applications via QuickApply, while Prepare tab is for coding practice challenges"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","I understand you're experiencing issues with submissions not working across challenges. While our corpus doesn't contain specific troubleshooting steps for submission failures, I can confirm this appears to be a technical issue affecting test functionality. For immediate assistance with submission problems, please contact our technical support team directly through the HackerRank support portal where they can investigate your specific account and challenge issues.","screen","replied","bug","Corpus contains general HackerRank test information but no specific guidance on submission failures, suggesting this requires technical support escalation through proper channels"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","I understand you're experiencing connectivity issues with Zoom during compatibility checks. Based on our documentation, HackerRank Interview supports using other video conferencing platforms like Zoom alongside our system. You can use any conferencing platform in the same invite as HackerRank Interview. For Google Calendar, you can use another app's add-on first, copy the joining information, then use the HackerRank Interview add-on. The joining information for the other platform will be available in the meeting description. If you continue to experience issues, please ensure you have a stable internet connection and try using the latest versions of supported browsers like Chrome, Firefox, or Edge.","screen","replied","bug","Corpus chunks provide guidance on using external conferencing platforms with HackerRank Interview and troubleshooting connectivity issues, allowing for a replied status."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Thank you for reaching out about rescheduling your HackerRank assessment. For assessment scheduling and rescheduling requests, you'll need to contact the company that sent you the invitation directly at their provided email address. The assessment invitation email should include contact information for accommodations or scheduling questions. HackerRank support cannot reschedule tests on behalf of companies as scheduling is managed by the hiring organization. Please check your original invitation email for the appropriate contact at the company.","screen","replied","product_issue","Corpus chunks indicate assessment scheduling is managed by the hiring company, not HackerRank support, and provide guidance that candidates should contact the company directly for accommodations or scheduling issues."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?","Candidate inactivity help","HackerRank","Based on our documentation, candidates are automatically moved back to the virtual lobby when all interviewers leave the interview, not due to inactivity timers. The system does not appear to have configurable inactivity timeouts that would cause participants to be kicked out during active screen sharing sessions. If interviewers are remaining in the interview but candidates are being moved to the lobby unexpectedly, this may indicate a technical issue where the system incorrectly detects that interviewers have left. I recommend ensuring all interviewers remain actively connected to the HackerRank interview session during screen sharing activities.","interviews","replied","product_issue","Corpus chunks indicate candidates are moved to lobby only when interviewers leave, not due to inactivity timeouts. No mention of configurable inactivity settings found."
"it’s not working, help","Help needed","None","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","connector","escalated","invalid","Auto-escalated due to risk flags: ambiguous_request"
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?","How to Remove a User","HackerRank","To remove user access, you'll need to go to the specific resource (test, interview template, or question) where the user has access. Navigate to the resource, click 'Share', locate the user in the Share dialog box, select the dropdown next to their name, and choose 'Remove User'. This process is consistent across tests, interview templates, and questions. For broader user management including role modification, you can access User Management via your profile icon.","account_management","replied","product_issue","Corpus chunks provide clear instructions for removing user access from shared resources (tests, templates, questions) which addresses the core issue of removing user permissions."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.","Subscription pause","HackerRank","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","setting","escalated","bug","Auto-escalated due to risk flags: subscription_action"
"Claude has stopped working completely, all requests are failing","Claude not responding","Claude","Based on the information available, Claude sessions require the Desktop app to remain open and your computer to stay awake for tasks to continue. If the app was closed or your computer went to sleep, active sessions may have ended. For complete service interruptions, please check your internet connection and ensure you're not hitting usage limits, as Cowork consumes more usage than standard chat. If the issue persists, use the feedback button in the app to report it to our team.","general_support","replied","bug","Corpus chunks provide troubleshooting guidance for Claude stopping work and usage limits, allowing a replied status with relevant support information."
"My identity has been stolen, wat should I do","Identity Theft","Visa","This issue has been flagged for review by our support team. A human agent will follow up with you shortly.","general_support","escalated","product_issue","Auto-escalated due to risk flags: identity_theft"
"Resume Builder is Down","Help in creating resume","HackerRank","I understand you're experiencing issues with the Resume Builder. While our documentation shows the Resume Builder is available through the App Switcher (grid icon) in the top-right corner of HackerRank Community, I don't have specific troubleshooting information for service outages in the provided resources. Please try refreshing the page, checking your internet connection, or trying again later. If the issue persists, you may want to check HackerRank's status page or community forums for any known service disruptions.","account_management","replied","bug","Corpus provides detailed Resume Builder functionality but no troubleshooting guidance for service outages, requiring a general support response"
